indicator,order_used,fixed_111_2030,aic_optimal_2030,pct_change
life_expectancy_birth_yrs_who,"(0, 2, 1)",65.30189650681059,64.82555570838832,0.7294440497185124
hale_birth_yrs,"(0, 2, 1)",57.19996172411469,56.697457883774625,0.8785038052363119
u5mr_who,"(2, 2, 0)",28.562869805741652,29.32402340474733,2.6648358662219285
ncd_premature_pct,"(1, 0, 0)",63.32114760345013,63.201867817059544,0.18837274892359362
ncd_3070_probability_pct,"(0, 1, 2)",20.417456432178856,21.86972742990163,7.112888926918084
total_ncd_deaths,"(1, 1, 1)",119159.54614570407,119159.54614570407,0.0
suicide_rate_crude_who,"(1, 1, 0)",5.452832094145844,5.696240846291581,4.463895970812319
suicide_rate_agestd_who,"(1, 1, 0)",8.220032967649914,8.350343085643999,1.5852748828006298
tb_incidence_per100k,"(2, 1, 0)",108.62452060706032,108.24184319398286,0.3522937647400641
hiv_new_infections_n,"(1, 1, 2)",12651.27996721922,11409.12642672836,9.818402119859872
hiv_new_infections_per1000,"(2, 2, 0)",0.33734217517116377,0.2967184509445886,12.042290355768037
malaria_incidence_per1000atrisk,"(2, 1, 0)",132.5159863790406,149.89452306827098,13.114294481815856
oop_pct_che,"(1, 0, 0)",26.533085297862865,32.77781065948643,23.53561710415392
oop_percapita_usd,"(1, 1, 0)",19.634715210567883,19.789308337121856,0.7873459069615995
che_pct_gdp,"(0, 1, 1)",3.685588086813861,3.695188822308475,0.26049399087659936
che_percapita_usd,"(1, 1, 0)",74.40108238755222,74.2703222255951,0.17575034900164876
life_expectancy_birth_yrs_wb,"(2, 2, 0)",67.65583595263126,67.64534610037299,0.015504726400275006
suicide_rate_wb,"(1, 1, 0)",5.46144524611193,5.704881216225246,4.457354402419777
che_pct_gdp_wb,"(0, 1, 1)",3.685588086813861,3.695188822308475,0.26049399087659936
tfr_national_wb,"(1, 1, 0)",3.224475432131978,3.2438687346512034,0.6014405421102136
pm25_exposure_wb,"(0, 0, 1)",54.13629552533181,54.00017980815072,0.2514315319514233
