region,district,class,lat,lon,employed,unemployed,poverty_incidence,poverty_intensity,illiterate_pop,uninsured_pop,m_0_14,f_0_14,m_15_64,f_15_64,m_65p,f_65p,total_pop,literacy_rate,uninsured_rate,elderly_share_65plus,unemployment_rate,geojson_district,geojson_area_deg2,pop_density_relative,illiteracy_rate,dependency_ratio,vulnerability_pc1,insurance_access_pc2,gistar_z,gistar_class
Western,Wassa Amenfi West Municipal,Municipal,5.7735167,-2.5321498,48494,36169,24.9,42.0,39203,36463,23579,22758,43434,37508,1924,1797,131000,0.7007404580152672,0.2783435114503816,0.0284045801526717,0.4272114146675643,WASSA AMENFI WEST,0.1182362017786893,1107951.693553228,0.2992595419847328,61.844283561068416,-1.0264858994379424,0.5102192423076604,-0.139036,NOT_SIGNIFICANT
Western,Wassa East,District,5.3622378,-1.62070954561049,37479,24536,38.0,42.0,31560,53204,19411,18215,29878,28067,1911,2159,99641,0.6832629138607601,0.5339569052899911,0.0408466394355737,0.3956462146254938,WASSA EAST,0.1348301142976629,739011.4628251647,0.3167370861392399,71.95789110363276,-0.20539204518326673,2.362916842890292,-0.145534,NOT_SIGNIFICANT
Western North,Aowin Municipal,Municipal,5.69311555,-2.7557437678514,48339,36622,37.1,41.9,51625,44974,24663,23633,43488,37969,1980,1524,133257,0.6125907081804334,0.3374982177296502,0.0262950539183682,0.431044832334836,AOWIN,0.2130159009340637,625573.0178623986,0.3874092918195666,63.591833728224714,-0.20543601205282166,1.130905800135106,-0.136245,NOT_SIGNIFICANT
Western North,Bia East,District,6.817878,-3.00681786775424,20133,12438,32.9,41.5,22623,23293,10619,9883,16617,14414,918,622,53073,0.5737380589000056,0.4388860625930322,0.0290166374616094,0.3818734457032329,BIA EAST,0.0640547844792092,828556.3745394592,0.4262619410999944,71.03219361283878,-0.27558073955321793,2.1648815716965895,-0.45931,NOT_SIGNIFICANT
Western North,Bia West,District,6.56894165,-3.06628883975843,38243,33676,24.5,41.3,11991,8269,22464,21498,35895,33204,1596,1224,115881,0.8965231573769643,0.0713576859019166,0.0243353094985372,0.4682490023498658,BIA WEST,0.1051718080404757,1101825.6903542322,0.10347684262303569,67.70286111231711,-1.5255382098256627,-0.80056820917548,-0.39014,NOT_SIGNIFICANT
Western North,Bibiani Anhwiaso Bekwai Municipal,Municipal,6.29602085,-2.23398871855776,54933,53406,25.8,41.9,22658,14946,30105,29527,50059,52106,2634,3540,167971,0.865107667394967,0.0889796452959141,0.0367563448452411,0.4929526763215462,BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,0.0681331265035716,2465335.272573977,0.13489233260503297,64.4114912151911,-1.226001065144052,-1.0000823994688937,-0.190715,NOT_SIGNIFICANT
Western North,Bodi,District,6.24012575,-2.87347603617418,23327,18638,18.6,41.7,38497,24824,12137,11646,20465,19320,1051,1129,65748,0.4144764859767598,0.3775628155989536,0.0331569021110908,0.4441320147742166,BODI,0.0541001122515591,1215302.4691386863,0.5855235140232402,65.25826316450923,-0.16660309813603813,1.3371275953737123,-0.119807,NOT_SIGNIFICANT
Western North,Juaboso,District,6.3415722,-2.8235416,29440,27877,18.9,42.3,39907,30473,16061,15436,28339,26307,1322,1349,88814,0.5506676875267413,0.3431103204449749,0.0300740874186502,0.4863653017429384,JUABOSO,0.111908121671771,793633.1936701916,0.44933231247325867,62.52607693152289,-0.3726533301540272,0.5211844794553296,-0.25813,NOT_SIGNIFICANT
Western North,Sefwi Akontombra,District,6.0425529,-2.8760069,25005,16732,24.5,42.2,29528,18022,13046,11906,20785,18801,1192,959,66689,0.5572283285099492,0.2702394697776245,0.032254194844727,0.4008912954932074,SEFWI AKONTOMBRA,0.091458682624788,729170.791510234,0.4427716714900508,68.46612438740969,-0.4293058067206998,0.9246391579964792,-0.177016,NOT_SIGNIFICANT
Western North,Sefwi Wiawso Municipal,Municipal,6.30540429999999,-2.51755838219394,51890,46609,33.3,42.4,42460,37320,26975,25746,46395,46745,2535,2824,151220,0.7192170347837588,0.2467927522814442,0.0354384340695675,0.4731926212448857,SEFWI-WIAWSO,0.0826503791455737,1829634.6800013257,0.28078296521624124,62.35774103500107,-0.4599174305622895,0.07416632224802512,-0.271256,NOT_SIGNIFICANT
Western North,Suaman,District,6.10824159999999,-3.00869712063798,12182,13089,37.5,41.3,19265,22574,6746,6251,13440,11022,421,388,38268,0.4965767743284206,0.5898923382460541,0.0211403783840284,0.5179454710933481,SUAMAN,0.0326645577311293,1171545.021824392,0.5034232256715794,56.43855776306107,0.3019542934641088,1.966762405302782,-0.09225,NOT_SIGNIFICANT
